









郑州电信,#genre#
厦门卫视郑州,http://42.227.88.176:9003//hls/62/index.m3u8
宁夏卫视郑州,http://42.227.88.176:9003//hls/52/index.m3u8
兵团卫视郑州,http://42.227.88.176:9003//hls/63/index.m3u8
内蒙古视郑州,http://42.227.88.176:9003//hls/54/index.m3u8
黑龙江视郑州,http://42.227.88.176:9003//hls/39/index.m3u8
河南都市郑州,http://42.227.88.176:9003//hls/18/index.m3u8
河南民生郑州,http://42.227.88.176:9003//hls/19/index.m3u8
河南法治郑州,http://42.227.88.176:9003//hls/20/index.m3u8
河南电视郑州,http://42.227.88.176:9003//hls/21/index.m3u8
河南新闻郑州,http://42.227.88.176:9003//hls/22/index.m3u8
河南公共郑州,http://42.227.88.176:9003//hls/23/index.m3u8
河南农村郑州,http://42.227.88.176:9003//hls/24/index.m3u8
河南梨园郑州,http://42.227.88.176:9003//hls/25/index.m3u8
河南文物郑州,http://42.227.88.176:9003//hls/26/index.m3u8
河南武术郑州,http://42.227.88.176:9003//hls/27/index.m3u8
金鹰卡通郑州,http://42.227.88.176:9003//hls/58/index.m3u8
卡酷少儿郑州,http://42.227.88.176:9003//hls/57/index.m3u8
嘉佳卡通郑州,http://42.227.88.176:9003//hls/59/index.m3u8






港闽AKtv,#genre#
Plus综合AKtv,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
pₒₚc电影AKtv,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
Now星影AKtv,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
Now爆谷AKtv,http://aktv.top/AKTV/live/aktv2/now-1/AKTV.m3u8
美亚电影AKtv,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
凤凰中文AKtv,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯AKtv,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港AKtv,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
中天新闻AKtv,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
无线新闻AKtv,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新美AKtv,http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
无线翡4kAKtv,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u8
无线翡翠AKtv,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
无线明珠AKtv,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
无线赛马AKtv,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
28ai赛马AKtv,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
黄金翡翠AKtv,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
无线娱乐AKtv,http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
无线经典AKtv,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
无线亚剧AKtv,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
无线翡剧AKtv,http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
无线明剧AKtv,http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
